destination,photo_id,rank,r,g,b,weight
Japan,0n2FxR6rlKo,1,142,124,114,0.3406666666666667
Japan,0n2FxR6rlKo,2,180,164,154,0.26033333333333336
Japan,0n2FxR6rlKo,3,97,75,67,0.2
Japan,0n2FxR6rlKo,4,39,31,26,0.13366666666666666
Japan,0n2FxR6rlKo,5,232,233,230,0.06533333333333333
Japan,7NX_PkUQ9fQ,1,29,26,28,0.316
Japan,7NX_PkUQ9fQ,2,87,80,84,0.228
Japan,7NX_PkUQ9fQ,3,140,144,157,0.21766666666666667
Japan,7NX_PkUQ9fQ,4,201,197,208,0.15033333333333335
Japan,7NX_PkUQ9fQ,5,183,80,73,0.088
Japan,f1KrC0Z6Jww,1,6,7,15,0.355
Japan,f1KrC0Z6Jww,2,16,36,50,0.261
Japan,f1KrC0Z6Jww,3,60,80,94,0.165
Japan,f1KrC0Z6Jww,4,93,122,143,0.15066666666666667
Japan,f1KrC0Z6Jww,5,164,174,181,0.06833333333333333
Japan,oJMPcUv2CWA,1,179,172,176,0.279
Japan,oJMPcUv2CWA,2,51,48,49,0.24933333333333332
Japan,oJMPcUv2CWA,3,145,135,137,0.203
Japan,oJMPcUv2CWA,4,101,87,90,0.18733333333333332
Japan,oJMPcUv2CWA,5,224,224,226,0.08133333333333333
Japan,Hiipx7aX2vQ,1,34,41,37,0.323
Japan,Hiipx7aX2vQ,2,59,70,72,0.30833333333333335
Japan,Hiipx7aX2vQ,3,100,87,84,0.23666666666666666
Japan,Hiipx7aX2vQ,4,161,107,99,0.082
Japan,Hiipx7aX2vQ,5,193,166,159,0.05
Japan,PIl8mLN3gnQ,1,8,6,5,0.766
Japan,PIl8mLN3gnQ,2,56,41,34,0.15033333333333335
Japan,PIl8mLN3gnQ,3,93,93,106,0.04466666666666667
Japan,PIl8mLN3gnQ,4,176,171,171,0.025333333333333333
Japan,PIl8mLN3gnQ,5,208,66,31,0.013666666666666667
Japan,yeZowdyBZTs,1,8,21,34,0.29433333333333334
Japan,yeZowdyBZTs,2,101,122,138,0.21
Japan,yeZowdyBZTs,3,41,72,100,0.20333333333333334
Japan,yeZowdyBZTs,4,170,162,154,0.19433333333333333
Japan,yeZowdyBZTs,5,213,209,201,0.098
Japan,vWrryx7pw3w,1,214,214,216,0.25566666666666665
Japan,vWrryx7pw3w,2,159,156,161,0.24833333333333332
Japan,vWrryx7pw3w,3,102,110,123,0.19133333333333333
Japan,vWrryx7pw3w,4,85,165,228,0.17166666666666666
Japan,vWrryx7pw3w,5,50,55,61,0.133
Japan,qMgbGVHMot4,1,31,37,37,0.33166666666666667
Japan,qMgbGVHMot4,2,75,66,65,0.24733333333333332
Japan,qMgbGVHMot4,3,114,107,108,0.19933333333333333
Japan,qMgbGVHMot4,4,156,152,149,0.12366666666666666
Japan,qMgbGVHMot4,5,199,196,180,0.098
Japan,KNijwi0CU5U,1,177,229,234,0.2926666666666667
Japan,KNijwi0CU5U,2,83,199,210,0.21333333333333335
Japan,KNijwi0CU5U,3,97,120,124,0.18366666666666667
Japan,KNijwi0CU5U,4,186,146,125,0.16366666666666665
Japan,KNijwi0CU5U,5,74,53,48,0.14666666666666667
Japan,Sf8xFA5LKWQ,1,38,44,47,0.24533333333333332
Japan,Sf8xFA5LKWQ,2,131,135,141,0.23133333333333334
Japan,Sf8xFA5LKWQ,3,83,87,92,0.191
Japan,Sf8xFA5LKWQ,4,220,219,224,0.181
Japan,Sf8xFA5LKWQ,5,176,174,179,0.15133333333333332
Japan,ZeKTZS2l9ck,1,129,117,141,0.3273333333333333
Japan,ZeKTZS2l9ck,2,89,79,101,0.233
Japan,ZeKTZS2l9ck,3,44,44,52,0.16433333333333333
